시군,종류,시설명,주소,전화번호
천안시,방문요양,바른재가복지센터,충청남도 천안시 동남구 신부15길  15 3층301호 (신부동),070-8183-1800
천안시,방문요양,감동재가센터,충청남도 천안시 서북구 직산읍 봉주로  13 106호 (직산읍),041-582-6858
천안시,방문요양,한빛방문요양복지센터,충청남도 천안시 서북구 월봉로  38 3014호 (쌍용동),041-573-3355
천안시,방문요양,희망재가노인복지센터,"충청남도 천안시 동남구 신원3길  34 1동103호 (신부동, 극동아파트)",041-553-6594
천안시,방문목욕,천안제일방문요양센터,충청남도 천안시 서북구 두정중5길  54-8 1층 (두정동),041-553-2646
천안시,방문요양,천안제일방문요양센터,충청남도 천안시 서북구 두정중5길  54-8 1층 (두정동),041-553-2646
천안시,방문목욕,미소재가방문요양센터,충청남도 천안시 동남구 충절로  282 203호 (구성동),041-551-5333
천안시,방문요양,미소재가방문요양센터,충청남도 천안시 동남구 충절로  282 203호 (구성동),041-551-5333
천안시,방문요양,남서울노인주간보호센터,충청남도 천안시 서북구 성환읍 성환12길  31 (성환읍),041-587-0012
천안시,방문요양,입장노인복지센터,"충청남도 천안시 서북구 입장면 하장4길  45 A동1,2층 (입장면)",041-588-3864
천안시,방문요양,행복한재가복지센터,충청남도 천안시 동남구 원성18길  5-1 1층 (원성동),041-553-4848
천안시,방문요양,더행복한 재가노인복지센터,충청남도 천안시 동남구 통정9로  32 401호 (신방동),041-576-2010
천안시,방문목욕,`+새롬요양원병설 새롬재가노인복지센터,충청남도 천안시 서북구 신당새터2길  48 (신당동),041-585-3434
천안시,방문요양,#NAME?,충청남도 천안시 서북구 신당새터2길  48 (신당동),041-585-3434
천안시,방문요양,아름다운동행요양원 병설 재가복지센터,충청남도 천안시 서북구 성거읍 오송1길  20 (성거읍),041-622-9005
천안시,방문목욕,두리방문요양센터,충청남도 천안시 서북구 쌍용11길  58 308동1401호 (쌍용동),041-565-3255
천안시,방문요양,두리방문요양센터,충청남도 천안시 서북구 쌍용11길  58 308동1401호 (쌍용동),041-565-3255
천안시,복지용구,제일메디컬,충청남도 천안시 동남구 성남면 석곡3길  8 1층103호 (성남면),041-553-3524
천안시,방문목욕,인케어 재가복지센터,"충청남도 천안시 서북구 성정로  82 2층 (성정동, 후생빌딩, 사랑의메디칼의원)",041-571-8291
천안시,방문요양,인케어 재가복지센터,"충청남도 천안시 서북구 성정로  82 2층 (성정동, 후생빌딩, 사랑의메디칼의원)",041-571-8291
천안시,방문목욕,봄날 방문요양복지센터,"충청남도 천안시 동남구 신촌4로  16 상가1동2층205-4호 (신방동, 초원그린타운)",041-577-7749
천안시,방문요양,봄날 방문요양복지센터,"충청남도 천안시 동남구 신촌4로  16 상가1동2층205-4호 (신방동, 초원그린타운)",041-577-7749
천안시,복지용구,효드림복지용구센터,충청남도 천안시 서북구 성환읍 성환중앙로  35 (성환읍),041-581-0110
천안시,방문요양,누리온재가복지센터,충청남도 천안시 동남구 통정9로  76 201호 (신방동),041-577-6589
천안시,방문요양,충남빛나재가요양센터,충청남도 천안시 서북구 성거읍 소댕이3길  60-5 (성거읍),041-548-0902
천안시,복지용구,충남빛나재가요양센터,충청남도 천안시 서북구 성거읍 소댕이3길  60-5 (성거읍),041-548-0902
천안시,방문요양,올리사랑 재가복지센터,"충청남도 천안시 동남구 신촌4로  42 2층236호 (신방동, 신방현대프라자)",041-576-3335
천안시,방문목욕,라온노인복지센터,충청남도 천안시 동남구 통정5로  7 (신방동),0507-1418-3351
천안시,방문요양,라온노인복지센터,충청남도 천안시 동남구 통정5로  7 (신방동),0507-1418-3351
천안시,방문요양,굿데이방문요양센터,충청남도 천안시 동남구 새말4길  5 상가2동106호 (신방동),041-576-9944
천안시,복지용구,서원의료기,충청남도 천안시 동남구 풍세면 미죽로  9 1층 (풍세면),041-621-1919
천안시,방문목욕,(A)비지팅엔젤스 천안서북방문요양지점,"충청남도 천안시 서북구 백석로  136 2층9호 (백석동, 현대아파트단지)",041-552-7963
천안시,방문요양,(A)비지팅엔젤스 천안서북방문요양지점,"충청남도 천안시 서북구 백석로  136 2층9호 (백석동, 현대아파트단지)",041-552-7963
천안시,방문요양,다온재가복지센터,충청남도 천안시 서북구 서부대로  319-4 303호 (쌍용동),041-575-5701
천안시,방문요양,엘림방문요양센터,충청남도 천안시 서북구 백석3로  131 401호 (백석동),041-553-0305
천안시,방문목욕,해솔방문요양센터,충청남도 천안시 서북구 쌍용16길  24-1 (쌍용동),041-578-8894
천안시,방문요양,해솔방문요양센터,충청남도 천안시 서북구 쌍용16길  24-1 (쌍용동),041-578-8894
천안시,방문목욕,늘푸른청춘 노인복지센터,충청남도 천안시 동남구 원거리11길  52 (원성동),041-551-7202
천안시,방문요양,늘푸른청춘 노인복지센터,충청남도 천안시 동남구 원거리11길  52 (원성동),041-551-7202
천안시,방문요양,시니어사랑방문요양센터,"충청남도 천안시 서북구 월봉7길  49 2층223호 (쌍용동, 효명 리치빌)",041-575-7651
천안시,방문간호,굿굿 재가노인복지센터,충청남도 천안시 서북구 양지10길  62-5 2층201호 (성정동),041-574-8455
천안시,방문목욕,굿굿 재가노인복지센터,충청남도 천안시 서북구 양지10길  62-5 2층201호 (성정동),041-574-8455
천안시,방문요양,굿굿 재가노인복지센터,충청남도 천안시 서북구 양지10길  62-5 2층201호 (성정동),041-574-8455
천안시,방문목욕,나눔의손재가노인복지센터,충청남도 천안시 동남구 목천읍 충절로  820 2층 (목천읍),041-574-0551
천안시,방문요양,나눔의손재가노인복지센터,충청남도 천안시 동남구 목천읍 충절로  820 2층 (목천읍),041-574-0551
천안시,방문요양,꿈터재가노인복지센터,충청남도 천안시 동남구 문화1길  11 2층 (문화동),041-569-3338
천안시,방문목욕,"샬롬노인복지센터(방문요양, 방문목욕)","충청남도 천안시 서북구 월봉4로  140-16 상가동 2층208호 (쌍용동, 월봉벽산태영아파트)",041-592-6697
천안시,방문요양,"샬롬노인복지센터(방문요양, 방문목욕)","충청남도 천안시 서북구 월봉4로  140-16 상가동 2층208호 (쌍용동, 월봉벽산태영아파트)",041-592-6697
천안시,방문요양,동천안재가복지센터,"충청남도 천안시 동남구 대흥로  145 8층 (사직동, 동천안빌딩)",041-558-1269
천안시,방문목욕,더사랑주야간보호센터,충청남도 천안시 동남구 목천읍 목천안터2길  28 1층 (목천읍),041-553-2423
천안시,방문요양,더사랑주야간보호센터,충청남도 천안시 동남구 목천읍 목천안터2길  28 1층 (목천읍),041-553-2423
천안시,방문요양,원케어방문요양센터,충청남도 천안시 서북구 불당10길  20 1층 (불당동),041-567-1284
천안시,방문요양,명품재가노인복지센터,충청남도 천안시 서북구 서부대로  410 2층 (쌍용동),041-578-9100
천안시,복지용구,우정복지용구,충청남도 천안시 동남구 목천읍 남부대로  1012 1층 (목천읍),041-569-8134
천안시,방문목욕,더나음 재가노인복지센터,"충청남도 천안시 동남구 순천향4길  12 1층 (쌍용동, 서원빌딩)",041-573-0760
천안시,방문요양,더나음 재가노인복지센터,"충청남도 천안시 동남구 순천향4길  12 1층 (쌍용동, 서원빌딩)",041-573-0760
천안시,방문목욕,실버브릿지 재가복지센터,충청남도 천안시 동남구 목천읍 충절로  817 2층 (목천읍),041-523-2224
천안시,방문요양,실버브릿지 재가복지센터,충청남도 천안시 동남구 목천읍 충절로  817 2층 (목천읍),041-523-2224
천안시,방문요양,아주나 어르신 주야간보호센터ㆍ방문요양,충청남도 천안시 동남구 다가2길  39 (다가동),041-571-8253
천안시,방문목욕,가나안방문요양센터,충청남도 천안시 서북구 성환읍 성환중앙로  72 1층 (성환읍),041-901-9292
천안시,방문요양,가나안방문요양센터,충청남도 천안시 서북구 성환읍 성환중앙로  72 1층 (성환읍),041-901-9292
천안시,방문목욕,정다운재가복지센터,충청남도 천안시 서북구 쌍용7길  11 1층101호 (쌍용동),041-903-5933
천안시,방문요양,정다운재가복지센터,충청남도 천안시 서북구 쌍용7길  11 1층101호 (쌍용동),041-903-5933
천안시,재가노인지원서비스,천안시노인종합복지관부설 천안노인복지센터,충청남도 천안시 서북구 미라11길  16 (쌍용동),041-571-0286
천안시,재가노인지원서비스,성환재가노인복지센터,충청남도 천안시 서북구 성환읍 성환중앙로 24-7,041-581-2242
천안시,재가노인지원서비스,천안신창노인복지센터,"충청남도 천안시 동남구 우영3길 21, 4층 (봉명동)",041-575-7501
천안시,재가노인지원서비스,아우내은빛복지관부설아우내노인복지센터,충청남도 천안시 동남구 병천면 병천2로 51,041-556-6652
천안시,재가노인지원서비스,느티나무노인복지센터,충청남도 천안시 동남구 통정7길 5-3 (신방동),041-523-7995
천안시,주야간보호,돌봄노인주간보호센터,충청남도 천안시 서북구 동서대로  110-21 2층 (성정동),041-588-4005
천안시,주야간보호,천안시노인종합복지관부설 천안노인복지센터,충청남도 천안시 서북구 미라11길  16 (쌍용동),041-571-0286
천안시,주야간보호,느티나무노인복지센터,충청남도 천안시 동남구 통정7길  5-3 (신방동),041-523-7995
천안시,주야간보호,천안고향의집병설재가노인복지센터,충청남도 천안시 동남구 우영3길  21 (봉명동),041-574-7501
천안시,주야간보호,남천안노인요양원병설재가노인복지센터,충청남도 천안시 동남구 광덕면 차령로  4267 (광덕면),041-575-7518
천안시,주야간보호,북천안요양원부설주야간보호센터,충청남도 천안시 서북구 성환읍 성월수향길  30 (성환읍),041-585-0591
천안시,주야간보호,아우내은빛복지관부설아우내노인복지센터,충청남도 천안시 동남구 병천면 병천2로  57 (병천면),041-556-6652
천안시,주야간보호,우리노인주간보호센터,충청남도 천안시 동남구 목천읍 신계1길  23 (목천읍),041-555-0330
천안시,주야간보호,천안구구팔팔주간보호센터,충청남도 천안시 서북구 월봉11길  20 403호 (쌍용동),041-572-9980
천안시,주야간보호,참조은요양원병설주간보호센터,충청남도 천안시 서북구 동서대로  110-21 3층 (성정동),041-575-0050
천안시,주야간보호,참사랑복지센터,충청남도 천안시 서북구 성환읍 대학로  26 (성환읍),041-582-0560
천안시,주야간보호,한빛재활주간보호센터,"충청남도 천안시 서북구 두정로  210 6층 (두정동, 서올빌딩)",041-566-2547
천안시,주야간보호,아성재가노인복지센터,충청남도 천안시 동남구 양지말2길  22 (유량동),041-552-3672
천안시,주야간보호,으뜸재활주간보호센터,충청남도 천안시 동남구 서부대로  257-13 301호 (신방동),041-574-3111
천안시,주야간보호,사랑방노인복지센터,충청남도 천안시 서북구 입장면 성진로  794 (입장면),041-583-9917
천안시,주야간보호,#NAME?,충청남도 천안시 동남구 통정1로  38-17 2층 (신방동),041-578-1605
천안시,주야간보호,천안도우누리재가노인복지센터,"충청남도 천안시 동남구 다가말2길  86-1 B1, F1, F2층 (다가동)",041-417-0350
천안시,주야간보호,늘푸른요양원1병설주야간보호센터,충청남도 천안시 서북구 늘푸른3길  7-1 201호 (두정동),041-587-9988
천안시,주야간보호,늘푸른주간보호센터,충청남도 천안시 서북구 성정공원5로  7 2층 (성정동),041-554-8879
천안시,주야간보호,명품재활주야간보호센터,"충청남도 천안시 서북구 양지10길  67 2,3층 (성정동)",041-572-7780
천안시,주야간보호,효어르신주간보호센터,충청남도 천안시 서북구 천안천6길  27 (성정동),041-578-9933
천안시,주야간보호,웰케어천안주간보호센터,"충청남도 천안시 서북구 서부대로  413 (쌍용동, 천안컨벤션센터 별관 3층)",041-579-9101
천안시,주야간보호,행복드림주야간보호,충청남도 천안시 동남구 양지2길  28 (봉명동),041-418-3275
천안시,주야간보호,풍세노인주야간보호센터,충청남도 천안시 동남구 풍세면 하정길  31-3 (풍세면),041-557-8090
천안시,주야간보호,천안365주간보호,충청남도 천안시 서북구 오성로  107 403호 (두정동),041-1668-0440
천안시,주야간보호,퍼스트주간보호센터,충청남도 천안시 서북구 신당새터2길  71 (신당동),041-551-7707
천안시,주야간보호,일등요양원 병설 주간보호센터,충청남도 천안시 서북구 직산읍 삼은2길  22-5 (직산읍),041-585-0111
천안시,주야간보호,아가페 주야간보호센터,충청남도 천안시 동남구 청당산업길  76 2층 (구룡동),041-578-2412
천안시,주야간보호,남서울노인주간보호센터,충청남도 천안시 서북구 성환읍 성환12길  31 (성환읍),041-587-0012
천안시,주야간보호,입장노인복지센터,"충청남도 천안시 서북구 입장면 하장4길  45 A동1,2층 (입장면)",041-588-3864
천안시,주야간보호,사회복지법인 삼일복지재단 라온하제 주야간보호센터,충청남도 천안시 서북구 쌍용15길  86 (쌍용동),041-572-9339
천안시,주야간보호,중앙노인재가복지센터,충청남도 천안시 서북구 부대중앙길  28 (부대동),041-523-5423
천안시,주야간보호,가족사랑노인복지센터,충청남도 천안시 서북구 성거읍 문성1길  69-13 (성거읍),041-551-9988
천안시,주야간보호,천안노인주간보호센터,"충청남도 천안시 서북구 한들1로  55-29 2층 (백석동, 한울빌딩)",041-567-8259
천안시,주야간보호,은솔노인주간보호센터,충청남도 천안시 동남구 다가13길  7 (다가동),041-574-6300
천안시,주야간보호,꽃보다노인주간보호센터,충청남도 천안시 서북구 성환읍 성환9길  9 2층202호 (성환읍),041-900-1138
천안시,주야간보호,더 동행 주간보호센터,충청남도 천안시 동남구 봉명2길  27 4층 (봉명동),041-414-8890
천안시,주야간보호,청당더봄노인주간보호센터,충청남도 천안시 동남구 청수11로  24 4층401호 (청당동),041-522-7998
천안시,주야간보호,더사랑주야간보호센터,충청남도 천안시 동남구 목천읍 목천안터2길  28 1층 (목천읍),041-553-2423
천안시,주야간보호,아주나 어르신 주야간보호센터ㆍ방문요양,충청남도 천안시 동남구 다가2길  39 (다가동),041-571-8253
공주시,재가노인지원서비스,도덕노인복지센터,충청남도 공주시 정안면 정안중앙길  182 (정안면),041-854-9054
공주시,재가노인지원서비스,공주노인복지센터,충청남도 공주시 한적2길 41-20(금흥동),041-856-3695
공주시,방문목욕,공주기쁨노인복지센터,충청남도 공주시 백제문화로  2125-3 (웅진동),041-854-1091
공주시,방문요양,공주기쁨노인복지센터,충청남도 공주시 백제문화로  2125-3 (웅진동),041-854-1091
공주시,방문목욕,도덕노인복지센터,충청남도 공주시 정안면 정안중앙길  182 (정안면),041-854-9054
공주시,방문요양,도덕노인복지센터,충청남도 공주시 정안면 정안중앙길  182 (정안면),041-854-9054
공주시,방문요양,공주9988 주간보호센터,충청남도 공주시 신관로  69-11 3층 (신관동),041-855-9988
공주시,방문목욕,금빛노인복지센터,충청남도 공주시 한적2길  5 1층 (신관동),041-854-5631
공주시,방문요양,금빛노인복지센터,충청남도 공주시 한적2길  5 1층 (신관동),041-854-5631
공주시,방문요양,하늘방문요양센터,충청남도 공주시 번영1로  154 202호 (신관동),041-858-8266
공주시,방문목욕,공주실버랜드방문요양센터,충청남도 공주시 계룡면 전진배길  27 (계룡면),041-858-9101
공주시,방문요양,공주실버랜드방문요양센터,충청남도 공주시 계룡면 전진배길  27 (계룡면),041-858-9101
공주시,방문목욕,은혜노인복지센터,충청남도 공주시 계룡면 영규대사로  101-3 (계룡면),041-856-8890
공주시,방문요양,은혜노인복지센터,충청남도 공주시 계룡면 영규대사로  101-3 (계룡면),041-856-8890
공주시,방문목욕,믿음재가노인복지센터,충청남도 공주시 한적1길  8-25 (신관동),041-854-9055
공주시,방문요양,믿음재가노인복지센터,충청남도 공주시 한적1길  8-25 (신관동),041-854-9055
공주시,방문요양,더조은노인요양센터,충청남도 공주시 번영1로  47 202호 (신관동),041-853-2452
공주시,방문요양,백세청춘재가노인복지센터,충청남도 공주시 유구읍 유구마곡사로  10-1 (유구읍),041-841-5027
공주시,방문요양,무지개방문요양센터,충청남도 공주시 무령로  235 1층 (산성동),041-400-7474
공주시,방문목욕,공주통합돌봄센터,충청남도 공주시 공주대학로  17-20 1층 (신관동),041-858-0858
공주시,방문요양,공주통합돌봄센터,충청남도 공주시 공주대학로  17-20 1층 (신관동),041-858-0858
공주시,복지용구,웅진대성의료기,충청남도 공주시 웅진로  118 1층 (중학동),041-853-7674
공주시,방문목욕,공주요양센터,충청남도 공주시 공주대학로  17-20 (신관동),041-852-6501
공주시,방문요양,공주요양센터,충청남도 공주시 공주대학로  17-20 (신관동),041-852-6501
공주시,방문요양,더드림방문요양센터,충청남도 공주시 사곡면 마곡사로  83 1층 (사곡면),041-841-0077
공주시,방문목욕,나린아토방문요양센터,충청남도 공주시 주미길  48 201호 (주미동),041-852-1333
공주시,방문요양,나린아토방문요양센터,충청남도 공주시 주미길  48 201호 (주미동),041-852-1333
공주시,방문간호,양남식방문간호센터,충청남도 공주시 관골1길  38 1층 (신관동),041-856-1000
공주시,방문목욕,양남식방문간호센터,충청남도 공주시 관골1길  38 1층 (신관동),041-856-1000
공주시,방문요양,양남식방문간호센터,충청남도 공주시 관골1길  38 1층 (신관동),041-856-1000
공주시,방문요양,하융노인요양센터,"충청남도 공주시 먹자2길  1 1,2층 (중동)",041-960-0064
공주시,방문목욕,우리재가노인복지센터,충청남도 공주시 무령로  304 2층 (옥룡동),041-961-5004
공주시,방문요양,우리재가노인복지센터,충청남도 공주시 무령로  304 2층 (옥룡동),041-961-5004
공주시,주야간보호,금강노인복지센터,충청남도 공주시 산성시장5길  101 (금성동),041-856-3606
공주시,주야간보호,평안데이케어센터,충청남도 공주시 무령로  299 (옥룡동),041-852-2121
공주시,주야간보호,공주실버랜드주간보호센터,충청남도 공주시 계룡면 전진배길  27 (계룡면),041-858-9103
공주시,주야간보호,로뎀주간보호센터,충청남도 공주시 대통1길  20 (봉황동),041-855-3243
공주시,주야간보호,공주효재가노인복지센터,충청남도 공주시 이인면 검바위로  1 (이인면),041-852-5629
공주시,주야간보호,큰사랑 주간보호센터,충청남도 공주시 무령로  257 2층 (산성동),041-854-2827
공주시,주야간보호,공주9988 주간보호센터,충청남도 공주시 신관로  69-11 3층 (신관동),041-855-9988
공주시,주야간보호,공주삼성주간보호센터,충청남도 공주시 웅진로  186 3층 (산성동),041-400-8852
공주시,주야간보호,공주노인주간보호센터,충청남도 공주시 무령로  599-57 104~106호 (금흥동),041-855-2200
보령시,방문요양,(주)늘푸른복지센터,충청남도 보령시 큰오랏7길  14 2층 (동대동),041-932-6080
보령시,방문목욕,(주)늘푸른복지센터,충청남도 보령시 큰오랏7길  14 2층 (동대동),041-932-6080
보령시,방문목욕,보령통합돌봄복지센터,충청남도 보령시 신설2길  83 2층 (동대동),041-934-7377
보령시,방문요양,보령통합돌봄복지센터,충청남도 보령시 신설2길  83 2층 (동대동),041-934-7377
보령시,방문요양,만세보령노인복지센터,"충청남도 보령시 주공로  65 206호 (명천동, 주공3차아파트 상가)",041-935-4998
보령시,방문목욕,은혜재가복지센터,"충청남도 보령시 주공로  50 203호 (명천동, 명천2차주공아파트 상가)",041-936-1515
보령시,방문요양,은혜재가복지센터,"충청남도 보령시 주공로  50 203호 (명천동, 명천2차주공아파트 상가)",041-936-1515
보령시,방문목욕,실버플러스보령복지센터,충청남도 보령시 중앙로  235 2호 (대천동),041-931-1833
보령시,방문요양,실버플러스보령복지센터,충청남도 보령시 중앙로  235 2호 (대천동),041-931-1833
보령시,방문목욕,행복방문요양센터,충청남도 보령시 웅천읍 장마큰길  23-35 (웅천읍),041-934-5644
보령시,방문요양,행복방문요양센터,충청남도 보령시 웅천읍 장마큰길  23-35 (웅천읍),041-934-5644
보령시,방문요양,동고동락재가복지센터,충청남도 보령시 주교면 울계큰길  385 2층2호 (주교면),041-927-2209
보령시,방문목욕,(주)나눔복지센터,충청남도 보령시 주공로  13 4층 (동대동),041-933-5680
보령시,방문요양,(주)나눔복지센터,충청남도 보령시 주공로  13 4층 (동대동),041-933-5680
보령시,방문목욕,가온재가복지센터,충남 보령시 큰오랏6길18 2층,041-934-5786
보령시,방문요양,가온재가복지센터,충남 보령시 큰오랏6길18 2층,041-934-5786
보령시,복지용구,가온재가복지센터,충남 보령시 큰오랏6길18 2층,041-934-5786
보령시,방문요양,사회복지법인 효드림 데이케어센터,충청남도 보령시 남대천로  75 (대천동),041-936-8097
보령시,방문요양,효사랑재가복지센터,충청남도 보령시 큰오랏6길  59 (동대동),041-936-8466
보령시,복지용구,효사랑재가복지센터,충청남도 보령시 큰오랏6길  59 (동대동),041-936-8466
보령시,방문요양,주산재가노인복지센터,충청남도 보령시 주산면 충서로  405 (주산면),041-933-6755
보령시,방문목욕,으뜸방문요양센터,충청남도 보령시 대흥로  83 (대천동),041-931-5847
보령시,방문요양,으뜸방문요양센터,충청남도 보령시 대흥로  83 (대천동),041-931-5847
보령시,방문요양,가평재가복지센터,"충청남도 보령시 봉황로  118 209호 (죽정동, 대우아파트 상가)",041-931-1857
보령시,방문요양,인당재가방문요양센터,충청남도 보령시 신평4길  4 (대천동),041-935-1586
보령시,방문목욕,한아름재가복지센터,충청남도 보령시 웅천읍 충서로  1225 (웅천읍),041-933-6988
보령시,방문요양,한아름재가복지센터,충청남도 보령시 웅천읍 충서로  1225 (웅천읍),041-933-6988
보령시,방문목욕,열린재가복지센터,충청남도 보령시 남포면 충서로  1839-21 (남포면),041-934-9088
보령시,방문요양,열린재가복지센터,충청남도 보령시 남포면 충서로  1839-21 (남포면),041-934-9088
보령시,방문목욕,사랑재가노인복지센터,충청남도 보령시 중앙로  212 (대천동),041-936-9541
보령시,방문요양,사랑재가노인복지센터,충청남도 보령시 중앙로  212 (대천동),041-936-9541
보령시,방문요양,늘사랑노인복지센터,충청남도 보령시 봉황로  72-6 102호 (죽정동),041-931-5797
보령시,방문요양,미소로방문요양센터,충청남도 보령시 웅천읍 장터중앙길  133-5 (웅천읍),041-935-2988
